Purchase_ID,Mobile_Number,Vehicle_Number,Date,Fuel_Type,Fuel_Quantity (L),Fuel_Price (₹/L),Total_Cost (₹),Odometer_Reading (Km),Fuel_Station,Fuel_Station_Location,Payment_Mode,Vehicle_Type,Mileage (Km/L)
P089,9012345678,AP05GH3456,01-08-2025,Petrol,12.8,108,1382.4,17889,HP Petrol Pump,Vijayawada,Card,Car,
P110,9012345678,AP05GH3456,01-08-2025,CNG,14.5,108,1566,12277,HP Petrol Pump,Vijayawada,UPI,Car,
P069,9012345678,AP05GH3456,04-08-2025,Petrol,6.5,109,708.5,12594,Bharat Petroleum,Guntur,Cash,Car,48.77
P095,9012345678,AP05GH3456,04-08-2025,Petrol,6.2,109,675.8,17964,Bharat Petroleum,Guntur,Card,Car,866.13
P003,9012345678,AP05GH3456,08-08-2025,CNG,4.4,98,475.2,12902,Indian Oil,Rajahmundry,Cash,Car,
P079,9012345678,AP05GH3456,12-08-2025,Petrol,17.3,109,1885.7,13195,Reliance Petroleum,Hyderabad,Cash,Car,16.94
P033,9012345678,AP05GH3456,17-08-2025,Petrol,7.5,108,810,13402,HP Petrol Pump,Kakinada,UPI,Car,27.6
P090,9012345678,AP05GH3456,21-08-2025,Petrol,6.1,108,658.8,13637,Indian Oil,Visakhapatnam,Card,Car,38.52
P109,9012345678,AP05GH3456,26-08-2025,CNG,14.5,95,1580.5,13832,Bharat Petroleum,Eluru,UPI,Car,13.45
P081,9012345678,AP05GH3456,30-08-2025,Petrol,9.6,109,1046.4,13946,Reliance Petroleum,Vijayawada,UPI,Car,11.88
P100,9012345678,AP05GH3456,03-09-2025,Petrol,11.6,109,1264.4,14158,HP Petrol Pump,Vijayawada,UPI,Car,18.28
P006,9012345678,AP05GH3456,07-09-2025,CNG,7.9,95,853.2,14458,Bharat Petroleum,Guntur,UPI,Car,37.97
P039,9012345678,AP05GH3456,11-09-2025,Petrol,9.9,109,1079.1,14652,Indian Oil,Rajahmundry,Cash,Car,19.6
P019,9012345678,AP05GH3456,16-09-2025,Petrol,7.1,108,766.8,14959,Reliance Petroleum,Hyderabad,UPI,Car,43.24
P101,9012345678,AP05GH3456,21-09-2025,Petrol,16.7,107,1786.9,15223,HP Petrol Pump,Kakinada,Cash,Car,15.81
P102,9012345678,AP05GH3456,27-09-2025,Petrol,4.1,109,446.9,15465,Indian Oil,Visakhapatnam,Card,Car,59.02
P103,9012345678,AP05GH3456,02-10-2025,Petrol,14.5,107,1551.5,15549,Bharat Petroleum,Eluru,Card,Car,5.79
P063,9012345678,AP05GH3456,08-10-2025,Petrol,13.9,107,1487.3,15872,Reliance Petroleum,Vijayawada,UPI,Car,23.24
P005,9012345678,AP05GH3456,14-10-2025,CNG,7.9,98,853.2,16108,HP Petrol Pump,Vijayawada,Cash,Car,29.87
P082,9012345678,AP05GH3456,20-10-2025,Petrol,17.2,108,1857.6,16271,Bharat Petroleum,Guntur,Card,Car,9.48
P093,9012345678,AP05GH3456,26-10-2025,Petrol,11.4,107,1219.8,16590,Indian Oil,Rajahmundry,Card,Car,27.98
P113,9012345678,AP05GH3456,31-10-2025,Petrol,5.6,108,604.8,16768,Reliance Petroleum,Hyderabad,Cash,Car,31.79
